R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega
35,13,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-11-26,551286,20,2025/00020,5021.5,48156.79,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
36,14,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-11-26,551295,19,2025/00022,3455.76,51612.55,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
37,15,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-12-03,554294,24,2025/00022,5042.07,56654.62,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
38,16,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-12-03,554301,23,2025/00024,3463.02,60117.64,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
39,17,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-12-10,556846,25,2025/00023,3903.46,64021.1,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
40,18,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-12-10,556853,26,2025/00028,3840.54,67861.64,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
41,19,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-12-18,561013,29,2025/00028,3898.62,71760.26,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
42,20,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-12-18,561014,28,2025/00033,3153.26,74913.52,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
43,21,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-12-30,561711,34,2025/00029,134.31,75047.83,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
44,22,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-12-30,561712,30,2025/00037,183.92,75231.75,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
45,1,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-20,536437,4,2025/00001,1173.7,1173.7,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
46,2,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-20,536438,3,2025/00003,1193.06,2366.76,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
47,3,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-22,537484,8,2025/00005,3494.48,5861.24,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
48,4,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-22,537486,8,2025/00003,3506.58,9367.82,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
49,5,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-10-29,540056,9,2025/00009,4418.92,13786.74,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
50,6,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-10-29,540057,12,2025/00004,4498.78,18285.52,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
51,7,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-11-05,542290,14,2025/00013,3988.16,22273.68,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
52,8,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-11-05,542293,16,2025/00007,3954.28,26227.96,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
53,9,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-11-12,544975,19,2025/00016,3988.16,30216.12,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
54,10,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-11-12,544981,19,2025/00009,3809.08,34025.2,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
55,11,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-11-20,549047,21,2025/00017,4539.92,38565.12,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
56,12,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-11-20,549048,20,2025/00012,4014.78,42579.9,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
57,13,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-11-26,551254,24,2025/00021,4653.66,47233.56,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
58,14,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-11-26,551267,22,2025/00015,4602.84,51836.4,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
59,15,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-12-03,554277,28,2025/00023,4087.38,55923.78,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
60,16,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-12-03,554290,25,2025/00016,4232.58,60156.36,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
61,17,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-12-10,556839,32,2025/00024,4334.22,64490.58,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
62,18,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-12-10,556843,26,2025/00017,4365.68,68856.26,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
63,19,6320,ADG32 6320 MNAVARRO SL,Pagada,ALUBIX SL,2025-12-18,561001,34,2025/00027,4082.54,72938.8,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
64,20,6320,ADG32 6320 MNAVARRO SL,Pagada,ROCALLA SA,2025-12-18,561002,27,2025/00020,3714.7,76653.5,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
65,21,6320,ADG32 6320 MNAVARRO SL,Facturada,ALUBIX SL,2025-12-29,561707,35,2025/00029,157.3,76810.8,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
66,22,6320,ADG32 6320 MNAVARRO SL,Facturada,ROCALLA SA,2025-12-29,561708,30,2025/00021,166.98,76977.78,2025-12-30,6320,ADG32 6320 MNAVARRO SL,2025-12-30,ENTREGADA
67,1,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535285,4,2025/00003,1266.87,1266.87,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
68,2,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535312,3,2025/00001,1056.33,2323.2,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
69,3,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537112,8,2025/00008,4020.23,6343.43,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
70,4,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537115,5,2025/00005,3661.46,10004.89,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
71,5,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540133,13,2025/00010,4325.15,14330.04,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
72,6,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540134,6,2025/00007,3539.25,17869.29,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
73,7,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-11-05,542386,15,2025/00012,4266.46,22135.75,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
74,8,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-11-05,542389,8,2025/00009,3643.31,25779.06,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
75,9,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-11-12,545031,20,2025/00015,4049.27,29828.33,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
76,10,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-11-12,545032,12,2025/00013,3403.73,33232.06,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
77,11,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-11-19,548396,24,2025/00017,3916.77,37148.83,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
78,12,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-11-19,548397,16,2025/00017,3781.25,40930.08,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
79,13,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-11-26,551300,25,2025/00019,4823.06,45753.14,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
80,14,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-11-26,551301,19,2025/00019,4241.05,49994.19,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
81,15,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-12-03,554360,27,2025/00024,4040.8,54034.99,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
82,16,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-12-03,554362,24,2025/00024,3861.11,57896.1,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
83,17,6352,ADG32 6352 SAANANOU SL,Facturada,ALUBIX SL,2025-12-10,556920,28,2025/00028,4420.74,62316.84,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
84,18,6352,ADG32 6352 SAANANOU SL,Facturada,ROCALLA SA,2025-12-10,556921,29,2025/00027,3950.65,66267.49,2025-12-30,6352,ADG32 6352 SAANANOU SL,2025-12-30,ENTREGADA
85,1,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535295,1,2025/00005,1507.66,1507.66,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
86,2,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535313,5,2025/00004,1444.74,2952.4,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
87,3,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537160,4,2025/00009,4808.54,7760.94,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
88,4,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537767,8,2025/00008,4977.94,12738.88,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
89,5,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540159,6,2025/00012,3874.42,16613.3,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
90,6,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540161,10,2025/00010,3322.66,19935.96,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
91,7,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-05,542874,9,2025/00013,4360.84,24296.8,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
92,8,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-05,542875,15,2025/00012,2473.24,26770.04,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
93,9,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-12,545041,12,2025/00014,4689.96,31460.0,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
94,10,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-13,545755,17,2025/00017,3369.85,34829.85,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
95,11,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-14,546232,20,2025/00018,326.7,35156.55,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
96,12,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-19,547964,14,2025/00019,4418.92,39575.47,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
97,13,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-19,548603,15,2025/00022,239.58,39815.05,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
98,14,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-19,548606,23,2025/00022,3488.43,43303.48,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
99,15,6356,ADG32 6356 WAANANOU SL,Pendent,ROCALLA SA,2025-11-21,549377,28,2025/00027,14.52,43318.0,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
100,16,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-26,551319,19,2025/00028,2814.46,46132.46,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
101,17,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-11-26,551323,29,2025/00028,3196.82,49329.28,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
102,18,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-11-26,551595,20,2025/00024,1422.96,50752.24,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
103,19,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-12-03,554396,24,2025/00029,4767.4,55519.64,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
104,20,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-12-03,554399,32,2025/00033,3803.03,59322.67,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
105,21,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-12-10,557603,25,2025/00034,4314.86,63637.53,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
106,22,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-12-10,557605,37,2025/00037,3623.95,67261.48,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
107,23,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-17,560979,31,2025/00039,4997.3,72258.78,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
108,24,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-17,560980,41,2025/00040,3662.67,75921.45,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
109,25,6356,ADG32 6356 WAANANOU SL,Facturada,ALUBIX SL,2025-12-29,561705,33,2025/00041,157.3,76078.75,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
110,26,6356,ADG32 6356 WAANANOU SL,Facturada,ROCALLA SA,2025-12-29,561706,45,2025/00041,158.51,76237.26,2025-12-30,6356,ADG32 6356 WAANANOU SL,2025-12-30,ENTREGADA
111,1,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-17,535278,3,2025/00002,1067.22,1067.22,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
112,2,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-17,535306,4,2025/00005,1353.99,2421.21,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
113,3,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-22,537109,8,2025/00003,3748.58,6169.79,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
114,4,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-22,537116,6,2025/00009,4239.84,10409.63,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
115,5,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-29,540059,10,2025/00006,3303.3,13712.93,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
116,6,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-29,540061,10,2025/00013,3873.21,17586.14,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
117,7,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-11-05,542307,11,2025/00011,4242.26,21828.4,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
118,8,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-11-05,542310,12,2025/00015,5150.97,26979.37,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
119,9,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-11-12,544984,15,2025/00014,3564.66,30544.03,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
120,10,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-11-12,544986,15,2025/00020,4773.45,35317.48,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
121,11,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-11-19,547936,20,2025/00018,3310.56,38628.04,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
122,12,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-11-19,547938,19,2025/00025,3767.94,42395.98,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
123,13,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-11-26,551253,21,2025/00020,3859.9,46255.88,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
124,14,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-11-26,551263,21,2025/00029,4265.25,50521.13,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
125,15,6366,ADG32 6366 JMORAGUES SL,Facturada,ALUBIX SL,2025-12-03,554336,25,2025/00025,3576.76,54097.89,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
126,16,6366,ADG32 6366 JMORAGUES SL,Facturada,ROCALLA SA,2025-12-03,554337,24,2025/00030,4345.11,58443.0,2025-12-19,6366,ADG32 6366 JMORAGUES SL,2025-12-19,ENTREGADA
