R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C
67,1,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535285,4,2025/00003,1266.87,1266.87
68,2,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535312,3,2025/00001,1056.33,2323.20
69,3,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537112,8,2025/00008,4020.23,6343.43
70,4,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537115,5,2025/00005,3661.46,10004.89
71,5,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540133,13,2025/00010,4325.15,14330.04
72,6,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540134,6,2025/00007,3539.25,17869.29
73,7,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-05,542386,15,2025/00012,4266.46,22135.75
74,8,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-05,542389,8,2025/00009,3643.31,25779.06
75,9,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-12,545031,20,2025/00015,4049.27,29828.33
76,10,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-12,545032,12,2025/00013,3403.73,33232.06
77,11,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-19,548396,24,2025/00017,3916.77,37148.83
78,12,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-19,548397,16,2025/00017,3781.25,40930.08
79,13,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551300,25,2025/00019,4823.06,45753.14
80,14,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-11-26,551301,19,2025/00019,4241.05,49994.19
81,15,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-03,554360,27,2025/00024,4040.80,54034.99
82,16,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-03,554362,24,2025/00024,3861.11,57896.10
83,17,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-10,556920,28,2025/00028,4420.74,62316.84
84,18,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-10,556921,29,2025/00027,3950.65,66267.49
85,19,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-17,560955,30,2025/00029,3872.00,70139.49
86,20,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-17,560956,32,2025/00031,3191.98,73331.47
87,21,6352,ADG32 6352 SAANANOU SL,Pagada,ALUBIX SL,2025-12-28,561694,35,2025/00034,158.51,73489.98
88,22,6352,ADG32 6352 SAANANOU SL,Pagada,ROCALLA SA,2025-12-28,561695,35,2025/00034,158.51,73648.49
89,1,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-17,535295,1,2025/00005,1507.66,1507.66
90,2,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-17,535313,5,2025/00004,1444.74,2952.40
91,3,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-22,537160,4,2025/00009,4808.54,7760.94
92,4,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-22,537767,8,2025/00008,4977.94,12738.88
93,5,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-10-29,540159,6,2025/00012,3874.42,16613.30
94,6,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-10-29,540161,10,2025/00010,3322.66,19935.96
95,7,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-05,542874,9,2025/00013,4360.84,24296.80
96,8,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-05,542875,15,2025/00012,2473.24,26770.04
97,9,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-12,545041,12,2025/00014,4689.96,31460.00
98,10,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-13,545755,17,2025/00017,3369.85,34829.85
99,11,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-14,546232,20,2025/00018,326.70,35156.55
100,12,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-19,547964,14,2025/00019,4418.92,39575.47
101,13,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-19,548603,15,2025/00022,239.58,39815.05
102,14,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-19,548606,23,2025/00022,3488.43,43303.48
103,15,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-21,549377,28,2025/00027,14.52,43318.00
104,16,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551319,19,2025/00028,2814.46,46132.46
105,17,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-11-26,551323,29,2025/00028,3196.82,49329.28
106,18,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-11-26,551595,20,2025/00024,1422.96,50752.24
107,19,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-03,554396,24,2025/00029,4767.40,55519.64
108,20,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-03,554399,32,2025/00033,3803.03,59322.67
109,21,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-10,557603,25,2025/00034,4314.86,63637.53
110,22,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-10,557605,37,2025/00037,3623.95,67261.48
111,23,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-17,560979,31,2025/00039,4997.30,72258.78
112,24,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-17,560980,41,2025/00040,3662.67,75921.45
113,25,6356,ADG32 6356 WAANANOU SL,Pagada,ALUBIX SL,2025-12-29,561705,33,2025/00041,157.30,76078.75
114,26,6356,ADG32 6356 WAANANOU SL,Pagada,ROCALLA SA,2025-12-29,561706,45,2025/00041,158.51,76237.26
115,1,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-17,535278,3,2025/00002,1067.22,1067.22
116,2,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-17,535306,4,2025/00005,1353.99,2421.21
117,3,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-22,537109,8,2025/00003,3748.58,6169.79
118,4,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-22,537116,6,2025/00009,4239.84,10409.63
119,5,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-10-29,540059,10,2025/00006,3303.30,13712.93
120,6,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-10-29,540061,10,2025/00013,3873.21,17586.14
121,7,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-05,542307,11,2025/00011,4242.26,21828.40
122,8,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-05,542310,12,2025/00015,5150.97,26979.37
123,9,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-12,544984,15,2025/00014,3564.66,30544.03
124,10,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-12,544986,15,2025/00020,4773.45,35317.48
125,11,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-19,547936,20,2025/00018,3310.56,38628.04
126,12,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-19,547938,19,2025/00025,3767.94,42395.98
127,13,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-11-26,551253,21,2025/00020,3859.90,46255.88
128,14,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-11-26,551263,21,2025/00029,4265.25,50521.13
129,15,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-03,554336,25,2025/00025,3576.76,54097.89
130,16,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-03,554337,24,2025/00030,4345.11,58443.00
131,17,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-10,556849,29,2025/00028,3492.06,61935.06
132,18,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-10,556852,26,2025/00035,4189.02,66124.08
133,19,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-18,561023,32,2025/00031,3373.48,69497.56
134,20,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-18,561027,31,2025/00036,3767.94,73265.50
135,21,6366,ADG32 6366 JMORAGUES SL,Pagada,ALUBIX SL,2025-12-24,561672,36,2025/00036,162.14,73427.64
136,22,6366,ADG32 6366 JMORAGUES SL,Pagada,ROCALLA SA,2025-12-24,561673,34,2025/00039,163.35,73590.99
137,1,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-17,535321,4,2025/00004,1447.16,1447.16
138,2,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-17,535324,5,2025/00001,1672.22,3119.38
139,3,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-22,537130,8,2025/00006,3092.76,6212.14
140,4,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-22,537135,6,2025/00003,3559.82,9771.96
141,5,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-10-29,540077,11,2025/00007,3598.54,13370.50
142,6,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-10-29,540078,7,2025/00007,4264.04,17634.54
143,7,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-11-05,542304,14,2025/00010,3813.92,21448.46
144,8,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-11-05,542312,12,2025/00011,4714.16,26162.62
145,9,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-11-13,545514,16,2025/00013,3315.40,29478.02
146,10,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-11-13,545515,14,2025/00016,4486.68,33964.70
147,11,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-11-19,547920,18,2025/00018,3540.46,37505.16
148,12,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-11-19,547923,17,2025/00019,4176.92,41682.08
149,13,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-11-26,551381,23,2025/00023,3959.12,45641.20
150,14,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-11-26,551390,20,2025/00024,4271.30,49912.50
151,15,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-12-03,554313,24,2025/00027,3913.14,53825.64
152,16,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-12-03,554316,22,2025/00027,4663.34,58488.98
153,17,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-12-10,556851,28,2025/00030,3593.70,62082.68
154,18,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-12-10,556855,26,2025/00029,5186.06,67268.74
155,19,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-12-17,560474,32,2025/00031,3283.94,70552.68
156,20,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-12-17,560477,30,2025/00034,3741.32,74294.00
157,21,6368,ADG32 6368 LPIZA SL,Pagada,ALUBIX SL,2025-12-24,561675,34,2025/00034,171.82,74465.82
158,22,6368,ADG32 6368 LPIZA SL,Pagada,ROCALLA SA,2025-12-24,561677,31,2025/00036,162.14,74627.96
159,1,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-17,535276,1,2025/00002,1239.04,1239.04
160,2,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-17,535299,5,2025/00001,1593.57,2832.61
161,3,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-22,537048,2,2025/00009,1840.41,4673.02
162,4,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-22,537049,4,2025/00007,1583.89,6256.91
163,5,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-22,537052,7,2025/00005,4268.88,10525.79
164,6,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-10-29,540055,8,2025/00012,3286.36,13812.15
165,7,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-10-29,540058,12,2025/00009,4544.76,18356.91
166,8,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-11-05,542280,9,2025/00013,3501.74,21858.65
167,9,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-11-05,542281,13,2025/00014,4034.14,25892.79
168,10,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-11-12,544972,10,2025/00015,3682.64,29575.43
169,11,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-11-12,544977,17,2025/00015,4266.46,33841.89
170,12,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-11-19,547924,12,2025/00017,3590.07,37431.96
171,13,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-11-19,547925,21,2025/00017,4089.80,41521.76
172,14,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-11-26,551192,16,2025/00020,3931.29,45453.05
173,15,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-11-26,551194,26,2025/00022,4502.41,49955.46
174,16,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-12-03,554275,20,2025/00024,3245.83,53201.29
175,17,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-03,554280,30,2025/00027,4397.14,57598.43
176,18,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-03,554380,35,2025/00030,65.34,57663.77
177,19,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-10,556808,36,2025/00035,4440.70,62104.47
178,20,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-12-10,556812,24,2025/00027,3415.83,65520.30
179,21,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-12-17,560905,26,2025/00030,3581.60,69101.90
180,22,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-17,560906,38,2025/00037,4262.83,73364.73
181,23,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ALUBIX SL,2025-12-24,561674,30,2025/00031,163.35,73528.08
182,24,6369,ADG32 6369 VMASTRANGELO SL,Pagada,ROCALLA SA,2025-12-24,561676,42,2025/00042,153.67,73681.75
183,1,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-17,535280,5,2025/00001,1352.78,1352.78
184,2,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-17,535303,3,2025/00001,786.50,2139.28
185,3,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-23,537782,7,2025/00005,4619.78,6759.06
186,4,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-23,537785,6,2025/00004,2870.12,9629.18
187,5,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-10-29,540130,8,2025/00007,4474.58,14103.76
188,6,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-10-29,540132,8,2025/00005,2618.44,16722.20
189,7,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-11-05,542342,9,2025/00010,5186.06,21908.26
190,8,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-11-05,542345,11,2025/00006,3274.26,25182.52
191,9,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-11-12,544987,13,2025/00014,4636.72,29819.24
192,10,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-11-12,544989,15,2025/00010,2816.88,32636.12
193,11,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-11-19,548604,18,2025/00018,4542.34,37178.46
194,12,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-11-19,548605,16,2025/00011,3332.34,40510.80
195,13,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-11-26,551241,20,2025/00022,4881.14,45391.94
196,14,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-11-26,551246,20,2025/00014,3160.52,48552.46
197,15,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-12-03,554338,25,2025/00024,4653.66,53206.12
198,16,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-12-03,554339,22,2025/00018,2792.68,55998.80
199,17,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-12-10,556848,29,2025/00028,5164.28,61163.08
200,18,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-12-10,556854,24,2025/00021,3254.90,64417.98
201,19,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-12-17,560936,31,2025/00029,4670.60,69088.58
202,20,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-12-17,560937,27,2025/00026,2974.18,72062.76
203,21,6427,ADG32 6427 NANANOU SL,Pagada,ALUBIX SL,2025-12-29,561701,32,2025/00031,171.82,72234.58
204,22,6427,ADG32 6427 NANANOU SL,Pagada,ROCALLA SA,2025-12-29,561703,30,2025/00029,157.30,72391.88
205,1,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-10-23,538001,3,2025/00003,5057.80,5057.80
206,2,6428,ADG32 6428 ABOUBAL SL,Pagada,ROCALLA SA,2025-10-23,538002,5,2025/00001,5619.24,10677.04
207,3,6428,ADG32 6428 ABOUBAL SL,Pagada,ALUBIX SL,2025-10-29,540108,8,2025/00008,3649.36,14326.40
